"reviewScope","spanish","chinese","lemma","partOfSpeech","level","scene","kind","routes","lifePlacements","frequencyRank","frameworkReference","example","exampleChinese","sourceName","sourceUrl","spellingStatus","spanishNaturalnessStatus","chineseMeaningStatus","exampleStatus","levelStatus","lifeTierStatus","decision","suggestedSpanish","suggestedChinese","suggestedExample","reviewNotes","reviewerName","reviewerRole","reviewedAt"
"life:supermarket:L3","estar de oferta","正在促销","estar de oferta","fixed-expression","B1","购物","短语","exam|life","supermarket:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Este modelo suele estar de oferta en enero.","这个型号一月份通常会促销。","考试路线 B1 交易任务补缺 · PCIC 购物、支付与金融服务清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:supermarket:L3","pago con tarjeta","刷卡付款；银行卡支付","pago con tarjeta","fixed-expression","B1","购物","短语","exam|life","supermarket:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","El pago con tarjeta fue rechazado.","这笔银行卡支付被拒绝了。","考试路线 B1 交易任务补缺 · PCIC 购物、支付与金融服务清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:mobility:L1","andén","站台","andén","noun","A1","旅行","单词","exam|life","mobility:L1:free","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","El tren sale del andén cuatro.","火车从四号站台出发。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:mobility:L1","billete","票","billete","noun","A1","旅行","单词","exam|life","mobility:L1:free","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Quiero comprar un billete a Madrid.","我想买一张去马德里的票。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:mobility:L1","banco","银行","banco","noun","A1","城市","单词","exam|life","mobility:L1:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","El banco está junto al metro.","银行在地铁站旁边。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:mobility:L1","camino","道路","camino","noun","A1","城市","单词","exam|life","mobility:L1:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Este es el camino al centro.","这是去市中心的路。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:mobility:L2","afueras","郊区；城外","afueras","noun","B1","城市","短语","exam|life","mobility:L2:paid|settling:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","La vivienda está en las afueras.","这套住房位于郊区。","HolaDone 新居民任务审计 · 西班牙教育与公共服务页面汇编","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/NEWCOMER_UTILITY_AUDIT.md","","","","","","","","","","","","","",""
"life:mobility:L2","cercanías","市郊铁路；近郊","cercanías","noun","B1","城市","短语","exam|life","mobility:L2:paid|settling:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Hay una estación de cercanías cerca.","附近有一座市郊铁路车站。","HolaDone 新居民任务审计 · 西班牙教育与公共服务页面汇编","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/NEWCOMER_UTILITY_AUDIT.md","","","","","","","","","","","","","",""
"life:mobility:L2","vecindario","街坊；社区环境","vecindario","noun","B1","城市","短语","exam|life","mobility:L2:paid|settling:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","El vecindario es tranquilo y está bien comunicado.","这个社区环境安静，交通也便利。","HolaDone 新居民任务审计 · 西班牙教育与公共服务页面汇编","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/NEWCOMER_UTILITY_AUDIT.md","","","","","","","","","","","","","",""
"life:mobility:L2","interior","内部；室内","interior","noun","A2","城市","单词","exam|life","mobility:L2:paid","709","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","El interior del edificio es moderno.","这栋楼的内部很现代。","HolaDone 扩库批次 · wordfreq + PCIC 编辑映射","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/PIPELINE.md","","","","","","","","","","","","","",""
"life:mobility:L3","accesibilidad","无障碍程度；可达性","accesibilidad","noun","B2","旅行","单词","exam|life","mobility:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","La reforma mejorará la accesibilidad de la estación.","改造将改善车站的无障碍程度。","考试路线出行补缺 · Renfe 旅客条件、DGT 道路用语与 PCIC 核对","https://www.renfe.com/es/es/ayuda/informacion-legal-viajeros/condiciones-generales/condiciones-generales-renfe-viajeros","","","","","","","","","","","","","",""
"life:mobility:L3","asistencia en carretera","道路救援","asistencia en carretera","fixed-expression","B1","旅行","短语","exam|life","mobility:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","El seguro incluye asistencia en carretera.","该保险包含道路救援。","考试路线出行补缺 · Aena 机场旅客用语与 PCIC 核对","https://www.aena.es/es/pasajeros/equipajes-controles/control-seguridad.html","","","","","","","","","","","","","",""
"life:mobility:L3","aduana","海关","aduana","noun","B1","城市","单词","exam|life","mobility:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Tuvimos que declarar el paquete en la aduana.","我们必须在海关申报包裹。","考试路线出行补缺 · Renfe 旅客条件、DGT 道路用语与 PCIC 核对","https://www.renfe.com/es/es/ayuda/informacion-legal-viajeros/condiciones-generales/condiciones-generales-renfe-viajeros","","","","","","","","","","","","","",""
"life:mobility:L3","conexión perdida","错过的转乘；衔接中断","conexión perdida","fixed-expression","B2","城市","短语","exam|life","mobility:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Reclamó los gastos por la conexión perdida.","他就错过转乘造成的费用提出索赔。","考试路线出行补缺 · 西班牙交通部门与 PCIC 用语核对","https://www.transportes.gob.es/transporte-terrestre/movilidad/movilidad-sostenible","","","","","","","","","","","","","",""
"life:settling:L1","reserva","预订","reserva","noun","A1","旅行","单词","exam|life","settling:L1:free","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Tengo una reserva para dos noches.","我预订了两晚。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:settling:L1","desayuno","早餐","desayuno","noun","A1","餐厅","单词","exam|life","settling:L1:free|daily:L1:free","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","El desayuno está incluido.","包含早餐。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:settling:L1","chino","中文 / 中国的","chino","noun","A1","学习","单词","exam|life","settling:L1:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","En casa hablamos chino.","我们在家说中文。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:settling:L1","clase","课程 / 教室","clase","noun","A1","学习","单词","exam|life","settling:L1:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","La clase empieza a las nueve.","九点开始上课。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:settling:L2","admisión","录取；入学许可","admisión","noun","B1","学习","单词","exam|life","settling:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","El proceso de admisión empieza en abril.","入学申请流程四月开始。","西班牙教育部 · 公立与政府资助私立学校入学用语核对","https://educagob.educacionfpydeportes.gob.es/equidad/escolarizacion-cpub-cconc.html","","","","","","","","","","","","","",""
"life:settling:L2","arrendador","出租人","arrendador","noun","B1","住宿","单词","exam|life","settling:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","El arrendador firma el contrato de alquiler.","出租人在租赁合同上签字。","西班牙消费者事务部门 · 住房租赁与房地产中介用语核对","https://portal-cec.consumo.gob.es/sites/default/files/documentos/NI_AGENCIAS_INMOBILIARIAS_23_10_2024.pdf","","","","","","","","","","","","","",""
"life:settling:L2","alumnado","全体学生；学生群体","alumnado","noun","B1","学习","单词","exam|life","settling:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","El centro publica información para el alumnado.","学校发布面向学生的信息。","西班牙教育部 · 公立与政府资助私立学校入学用语核对","https://educagob.educacionfpydeportes.gob.es/equidad/escolarizacion-cpub-cconc.html","","","","","","","","","","","","","",""
"life:settling:L2","arrendatario","承租人","arrendatario","noun","B1","住宿","单词","exam|life","settling:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","El arrendatario entrega la fianza.","承租人支付押金。","西班牙消费者事务部门 · 住房租赁与房地产中介用语核对","https://portal-cec.consumo.gob.es/sites/default/files/documentos/NI_AGENCIAS_INMOBILIARIAS_23_10_2024.pdf","","","","","","","","","","","","","",""
"life:settling:L3","abrir una cuenta","开立账户","abrir una cuenta","fixed-expression","B1","购物","短语","exam|life","settling:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Necesito abrir una cuenta para recibir la nómina.","我需要开一个账户来接收工资。","考试路线 B1 交易任务补缺 · PCIC 购物、支付与金融服务清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:settling:L3","cerrar una cuenta","注销账户","cerrar una cuenta","fixed-expression","B1","购物","短语","exam|life","settling:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Quiero cerrar una cuenta que ya no uso.","我想注销一个不再使用的账户。","考试路线 B1 交易任务补缺 · PCIC 购物、支付与金融服务清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:settling:L3","pagar intereses","支付利息","pagar intereses","fixed-expression","B1","购物","短语","exam|life","settling:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Con este crédito hay que pagar intereses.","使用这笔信贷需要支付利息。","考试路线 B1 交易任务补缺 · PCIC 购物、支付与金融服务清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:settling:L3","sacar dinero","取钱；提现","sacar dinero","fixed-expression","B1","购物","短语","exam|life","settling:L3:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Voy a sacar dinero del cajero automático.","我要去自动取款机取钱。","考试路线 B1 交易任务补缺 · PCIC 购物、支付与金融服务清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:daily:L1","pagar","付款","pagar","verb","A1","日常","动词原形","exam|life","supermarket:L1:free|daily:L1:free","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm","Puede pagar en la caja automática.","您可以在自助收银台付款。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:daily:L1","gente","人；人们","gente","noun","A1","基础","单词","exam|life","daily:L1:free","92","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","La gente espera fuera.","人们在外面等。","HolaDone 扩库批次 · wordfreq + PCIC 编辑映射","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/PIPELINE.md","","","","","","","","","","","","","",""
"life:daily:L1","abrir","打开","abrir","verb","A1","日常","动词原形","exam|life","daily:L1:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm","¿Puede abrir la ventana?","您可以打开窗户吗？","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:daily:L1","llevar","携带 / 穿着","llevar","verb","A1","日常","动词原形","exam|life","daily:L1:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm","Necesito llevar agua en la mochila.","我需要在背包里带上水。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"life:daily:L2","depende de","取决于","depende de","fixed-expression","B1","基础","短语","exam|life","daily:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","El precio final depende de los gastos de envío.","最终价格取决于运费。","考试路线功能表达补缺 · PCIC B1–B2 功能清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:daily:L2","desde cuándo","从什么时候开始","desde cuándo","fixed-expression","B1","基础","短语","exam|life","daily:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","¿Desde cuándo está cerrada la tienda?","这家店从什么时候开始关门的？","考试路线功能表达补缺 · PCIC B1–B2 功能清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:daily:L2","estoy de acuerdo","我同意","estoy de acuerdo","fixed-expression","B1","基础","短语","exam|life","daily:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","Estoy de acuerdo con cambiar el horario.","我同意调整时间。","考试路线功能表达补缺 · PCIC B1–B2 功能清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:daily:L2","hasta cuándo","到什么时候为止","hasta cuándo","fixed-expression","B1","基础","短语","exam|life","daily:L2:paid","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","¿Hasta cuándo puedo devolver el producto?","这件商品最晚什么时候可以退？","考试路线功能表达补缺 · PCIC B1–B2 功能清单","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"life:daily:L3","aunque","虽然；即使","aunque","conjunction","B1","基础","单词","exam|life","daily:L3:paid","128","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Aunque llueve, salgo.","虽然下雨，我还是出门。","HolaDone 扩库批次 · wordfreq + PCIC 编辑映射","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/PIPELINE.md","","","","","","","","","","","","","",""
"life:daily:L3","social","社会的；社交的","social","adjective","A2","日常","单词","exam|life","daily:L3:paid","276","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Es un problema social.","这是一个社会问题。","HolaDone 扩库批次 · wordfreq + PCIC 编辑映射","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/PIPELINE.md","","","","","","","","","","","","","",""
"life:daily:L3","común","常见的；共同的","común","adjective","A2","日常","单词","exam|life","daily:L3:paid","622","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Es un error muy común.","这是一个很常见的错误。","HolaDone 扩库批次 · wordfreq + PCIC 编辑映射","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/PIPELINE.md","","","","","","","","","","","","","",""
"life:daily:L3","odio","憎恨；厌恶","odio","noun","A2","情绪","单词","exam|life","daily:L3:paid","942","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","El odio no resuelve el conflicto.","仇恨不能解决冲突。","HolaDone 扩库批次 · wordfreq + PCIC 编辑映射","https://github.com/YoYo1248/holadone/blob/main/docs/lexicon/PIPELINE.md","","","","","","","","","","","","","",""
"exam-only:A1","mal","不好 / 糟糕","mal","adverb","A1","健康","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm","Hoy me siento mal.","我今天感觉不舒服。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"exam-only:A1","aeropuerto","机场","aeropuerto","noun","A1","旅行","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","El autobús va directo al aeropuerto.","这辆公交车直达机场。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"exam-only:A1","asiento","座位","asiento","noun","A1","旅行","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Mi asiento está junto a la ventana.","我的座位靠窗。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"exam-only:A1","autobús","公交车 / 大巴","autobús","noun","A1","旅行","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Tomo el autobús para ir al trabajo.","我坐公交车去上班。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"exam-only:A2","brazo","手臂","brazo","noun","A2","健康","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Levante el brazo, por favor.","请抬起手臂。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"exam-only:A2","deber","应该 / 欠","deber","verb","A2","日常","动词原形","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm","No quiero deber dinero a nadie.","我不想欠任何人钱。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"exam-only:A2","cambio","更换 / 找零","cambio","noun","A2","购物","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_a1-a2.htm","Guarde el tique para hacer un cambio.","请保留小票，以便换货。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"exam-only:A2","dejar","留下 / 允许","dejar","verb","A2","日常","动词原形","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/08_nociones_generales_inventario_a1-a2.htm","Voy a dejar el paquete en recepción.","我要把包裹留在前台。","wordfreq + Kaikki / Wiktionary","https://github.com/rspeer/wordfreq","","","","","","","","","","","","","",""
"exam-only:B1","alergia","过敏","alergia","noun","B1","健康","单词","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","Tengo alergia al polen.","我对花粉过敏。","HolaDone B1–B2 教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"exam-only:B1","aprobar","通过考试","aprobar","verb","B1","日常","动词原形","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","Necesito aprobar el examen para continuar.","我需要通过考试才能继续。","HolaDone B1–B2 教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
"exam-only:B1","darse cuenta","意识到","darse cuenta","fixed-expression","B1","基础","短语","exam","","","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/05_funciones_inventario_b1-b2.htm","Es fácil darse cuenta del error.","这个错误很容易被发现。","HolaDone B1–B2 教学选词 · 参考 Instituto Cervantes PCIC","https://cvc.cervantes.es/ensenanza/biblioteca_ele/plan_curricular/niveles/09_nociones_especificas_inventario_b1-b2.htm","","","","","","","","","","","","","",""
